art,datum,detail,ort,latitude,longitude
Hochwasser,02.07.2012,Hochwasser Obergoms (VS),Obergoms,46.5388107,8.363232248
Sturzflut 1,07.06.2012,Sturzflut in Meierskappel (LU),Meierskappel,47.1239632,8.4435423
Hochwasser,10.10.2011,"Erdrutsche und Hochwasser im Berner Oberland, Oberwallis und in der Innerschweiz",Berner Oberland,46.5668072,8.020541882
Sturzflut 1,10.10.2011,Sturzflut im Gasterntal BE,Gasterntal,46.4551539,7.6996096
Sturzflut 1,10.10.2011,Sturzflut im Lötschental VS,Lötschental,46.4129942,7.8076294
Sturzflut 1,11.09.2011,Sturzflut von Ennetmoos bis Buochs (NW),Buochs,46.9739978,8.4205883
Sturzflut 1,04.09.2011,Grosse Regenmengen im Bezirk Wasseramt (SO),Wasseramt,47.1886542,7.59369913
Sturzflut 3,18.08.2011,Sturzflut in und um Giswil (OW),Giswil,46.838175,8.1880027
Sturzflut 2,15.08.2011,Lokale Sturzflut im Tösstal,Tösstal,47.4011464,8.8582381
Sturzflut 3,27.07.2011,Sturzflut zwischen Rüti (ZH) und Wald (ZH),Rüti,47.2579312,8.852696
Sturzflut 3,13.07.2011,Sturzflut von Sonogno bis Giornico (TI),Giornico,46.4017493,8.8766129
Hochwasser,10.07.2011,Hochwasser der Goldach und der Necker (SG),Goldach,47.4293365,9.4551967
Sturzflut 2,10.07.2011,Verheerende Sturzflut in Herisau (AR),Herisau,47.38555,9.2787571
Sturzflut 2,07.07.2011,Rekord-Gewitterregen / Sturzflut in Lugano (TI),Lugano,46.0050102,8.9520281
Hochwasser,29.06.2011,Ergiebige Niederschläge Voralpen insbesondere Kanton Schwyz,Schwyz,47.0571976,8.7222073
Sturzflut 2,29.06.2011,Sturzflut zwischen Grafenort (OW) und Wolfenschiessen (NW),Grafenort,46.870018,8.372696
Sturzflut 2,29.06.2011,Sturzflut bei Blumenstein (BE),Blumenstein,46.7412152,7.5208259
Sturzflut 1,14.06.2011,Kleine lokal eng begrenzte Sturzflut in Niedergösgen (SO),Niedergösgen,47.3731476,7.9926844
Hochwasser,29.07.2010,Hochwasser im Oberaargau (BE) und in der Region Willisau (LU),Willisau,47.1215184,7.99659
Sturzflut 3,12.07.2010,Sturzflut Krauchthal (GL) - Schilstal (SG),Krauchthal,47.0080399,7.5669873
Sturzflut 2,12.07.2010,Sturzflut im Klöntal (GL),Klöntal,47.0223734,8.9458155
Sturzflut 3,12.07.2010,Sturzflut Muotathal - Ibergeregg (SZ),Muotathal,46.974668,8.7658029
Sturzflut 2,12.07.2010,Sturzflut im Bevertal (GR),Bevertal,46.55019271,9.890761422
Sturzflut 2,10.07.2010,Sturzflut am Hönggerberg (ZH),Hönggerberg,47.4167952,8.4911692
Sturzflut 2,10.07.2010,Sturzflut bei Saanen (BE),Saanen,46.489756,7.2615837
Sturzflut 2,06.06.2010,Sturzflut Naturpark Gantrisch (BE),Gantrisch,46.7046865,7.450763
Sturzflut 3,06.06.2010,Sturzflut Wasseramt (SO),Wasseramt,47.1886542,7.59369913
Hochwasser,13.05.2010,Überschwemmungen im Klettgau und Rafzerfeld (ZH),Rafzerfeld,47.5853738,8.5119596
